algorithm,seed,generation_time_ms,is_connected,path_length,floor_count,wall_count,floor_ratio,room_count,largest_room_area,used_fixed_start_end_rooms,keep_only_reachable_area_from_start,run_index,png_path
CellularAutomata,1471574221,93.219,true,13,40,4056,0.009765625,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_1471574221.png
CellularAutomata,1138099530,87.413,true,31,129,3967,0.031494140625,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_1138099530.png
CellularAutomata,394842903,97.385,true,78,712,3384,0.173828125,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_394842903.png
CellularAutomata,2956913835,77.769,false,-1,1199,2897,0.292724609375,6,44,false,false,0,res://output/png/CellularAutomata/run_000_seed_2956913835.png
CellularAutomata,3092425420,83.465,false,-1,1381,2715,0.337158203125,5,54,false,false,0,res://output/png/CellularAutomata/run_000_seed_3092425420.png
CellularAutomata,4281284211,81.51,true,5,16,4080,0.00390625,1,16,false,true,0,res://output/png/CellularAutomata/run_000_seed_4281284211.png
CellularAutomata,3072763316,90.905,true,8,25,4071,0.006103515625,1,25,false,true,0,res://output/png/CellularAutomata/run_000_seed_3072763316.png
CellularAutomata,2808366515,77.817,true,19,94,4002,0.02294921875,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_2808366515.png
CellularAutomata,3802138372,81.848,true,6,17,4079,0.004150390625,1,17,false,true,0,res://output/png/CellularAutomata/run_000_seed_3802138372.png
CellularAutomata,3250693188,83.647,true,8,20,4076,0.0048828125,1,20,false,true,0,res://output/png/CellularAutomata/run_000_seed_3250693188.png
CellularAutomata,3248099912,86.204,true,114,1157,2939,0.282470703125,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3248099912.png
CellularAutomata,3189467037,84.911,true,5,10,4086,0.00244140625,1,10,false,true,0,res://output/png/CellularAutomata/run_000_seed_3189467037.png
CellularAutomata,913377853,80.366,false,-1,1227,2869,0.299560546875,7,67,true,false,0,res://output/png/CellularAutomata/run_000_seed_913377853.png
CellularAutomata,2858457519,92.381,false,-1,1396,2700,0.3408203125,4,45,false,false,0,res://output/png/CellularAutomata/run_000_seed_2858457519.png
CellularAutomata,970828159,79.709,false,-1,1420,2676,0.3466796875,3,53,false,false,0,res://output/png/CellularAutomata/run_000_seed_970828159.png
CellularAutomata,995395318,77.618,false,-1,1379,2717,0.336669921875,3,26,false,false,0,res://output/png/CellularAutomata/run_000_seed_995395318.png
CellularAutomata,2455054051,74.836,false,-1,1507,2589,0.367919921875,9,39,true,false,0,res://output/png/CellularAutomata/run_000_seed_2455054051.png
CellularAutomata,233217755,80.25,true,29,222,3874,0.05419921875,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_233217755.png
CellularAutomata,2818493470,80.052,true,14,38,4058,0.00927734375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_2818493470.png
CellularAutomata,2828319752,79.756,true,3,6,4090,0.00146484375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_2828319752.png
CellularAutomata,4002442459,89.513,true,112,1239,2857,0.302490234375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_4002442459.png
CellularAutomata,3368115536,82.716,true,69,424,3672,0.103515625,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3368115536.png
CellularAutomata,298160512,81.831,true,84,608,3488,0.1484375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_298160512.png
CellularAutomata,961845624,74.104,false,-1,1252,2844,0.3056640625,6,38,false,false,0,res://output/png/CellularAutomata/run_000_seed_961845624.png
CellularAutomata,1987654275,98.812,false,-1,1405,2691,0.343017578125,5,34,false,false,0,res://output/png/CellularAutomata/run_000_seed_1987654275.png
CellularAutomata,1610898457,97.792,false,-1,1290,2806,0.31494140625,6,21,false,false,0,res://output/png/CellularAutomata/run_000_seed_1610898457.png
CellularAutomata,3437866409,95.719,false,-1,1595,2501,0.389404296875,5,68,false,false,0,res://output/png/CellularAutomata/run_000_seed_3437866409.png
CellularAutomata,4154645188,74.806,false,-1,1428,2668,0.3486328125,4,36,false,false,0,res://output/png/CellularAutomata/run_000_seed_4154645188.png
CellularAutomata,1047636558,77.549,true,6,18,4078,0.00439453125,1,18,false,true,0,res://output/png/CellularAutomata/run_000_seed_1047636558.png
CellularAutomata,1813071340,90.485,true,128,1650,2446,0.40283203125,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_1813071340.png
CellularAutomata,854600300,78.887,true,5,11,4085,0.002685546875,1,11,false,true,0,res://output/png/CellularAutomata/run_000_seed_854600300.png
CellularAutomata,3484365247,77.816,true,5,17,4079,0.004150390625,1,17,false,true,0,res://output/png/CellularAutomata/run_000_seed_3484365247.png
CellularAutomata,536160264,79.335,true,26,127,3969,0.031005859375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_536160264.png
CellularAutomata,3494388019,76.248,true,2,4,4092,0.0009765625,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3494388019.png
CellularAutomata,366898368,79.99,true,26,148,3948,0.0361328125,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_366898368.png
CellularAutomata,1486576174,79.322,true,4,8,4088,0.001953125,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_1486576174.png
CellularAutomata,167001122,79.485,true,3,9,4087,0.002197265625,1,9,false,true,0,res://output/png/CellularAutomata/run_000_seed_167001122.png
CellularAutomata,2080962051,90.077,true,92,658,3438,0.16064453125,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_2080962051.png
CellularAutomata,3807173924,78.926,true,30,124,3972,0.0302734375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3807173924.png
CellularAutomata,2308922911,77.754,true,3,6,4090,0.00146484375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_2308922911.png
CellularAutomata,3990914371,81.553,true,86,631,3465,0.154052734375,0,0,false,true,0,res://output/png/CellularAutomata/run_000_seed_3990914371.png
CellularAutomata,464690918,63.493,false,-1,1509,2587,0.368408203125,6,39,false,false,0,res://output/png/CellularAutomata/run_000_seed_464690918.png
CellularAutomata,3809167861,68.363,false,-1,163,3933,0.039794921875,4,40,false,false,0,res://output/png/CellularAutomata/run_000_seed_3809167861.png
CellularAutomata,2341645156,64.195,false,-1,164,3932,0.0400390625,6,24,false,false,0,res://output/png/CellularAutomata/run_000_seed_2341645156.png
CellularAutomata,2876169749,62.381,false,-1,77,4019,0.018798828125,1,12,false,false,0,res://output/png/CellularAutomata/run_000_seed_2876169749.png
CellularAutomata,675710655,65.663,false,-1,1998,2098,0.48779296875,1,37,false,false,0,res://output/png/CellularAutomata/run_000_seed_675710655.png
CellularAutomata,4018580371,64.668,true,119,2849,1247,0.695556640625,1,2834,false,false,0,res://output/png/CellularAutomata/run_000_seed_4018580371.png
CellularAutomata,1210393035,48.311,true,116,2861,1235,0.698486328125,1,2824,false,false,0,res://output/png/CellularAutomata/run_000_seed_1210393035.png
CellularAutomata,496727427,54.429,false,-1,2238,1858,0.54638671875,3,26,false,false,0,res://output/png/CellularAutomata/run_000_seed_496727427.png
