algorithm,seed,generation_time_ms,is_connected,path_length,floor_count,wall_count,floor_ratio,room_count,largest_room_area,used_fixed_start_end_rooms,keep_only_reachable_area_from_start,run_index,png_path
ProcGenHybrid,12345,33.653,true,91,2081,2015,0.508056640625,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,33.598,true,91,2087,2009,0.509521484375,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,32.034,true,91,2094,2002,0.51123046875,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,31.278,true,91,2087,2009,0.509521484375,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,37.803,true,91,2096,2000,0.51171875,12,198,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,57.757,true,91,1997,2099,0.487548828125,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,61.074,true,91,1978,2118,0.48291015625,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,56.778,true,91,1994,2102,0.48681640625,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,53.977,true,91,1986,2110,0.48486328125,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,48.734,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,3737273655,24.378,true,84,1916,2180,0.4677734375,12,110,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_3737273655.png
ProcGenHybrid,931390512,46.482,true,87,1751,2345,0.427490234375,12,112,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_931390512.png
ProcGenHybrid,2519775546,129.303,true,111,2203,1893,0.537841796875,100,24,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_2519775546.png
ProcGenHybrid,262457757,92.534,true,114,2084,2012,0.5087890625,100,20,true,false,0,res://output/png/ProcGenHybrid/run_000_seed_262457757.png
ProcGenHybrid,774776619,100.861,true,119,2119,1977,0.517333984375,100,30,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_774776619.png
ProcGenHybrid,2989027775,25.524,true,104,2082,2014,0.50830078125,12,156,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_2989027775.png
ProcGenHybrid,3861080666,47.551,true,91,1980,2116,0.4833984375,12,133,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_3861080666.png
ProcGenHybrid,12345,46.694,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,46.614,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,42.663,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,45.212,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,46.317,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,12345,52.097,true,91,1951,2145,0.476318359375,12,198,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_12345.png
ProcGenHybrid,2183843870,46.121,true,90,1767,2329,0.431396484375,12,165,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_2183843870.png
ProcGenHybrid,998675239,110.936,true,114,2254,1842,0.55029296875,100,20,false,true,0,res://output/png/ProcGenHybrid/run_000_seed_998675239.png
ProcGenHybrid,2423977091,90.85,true,113,2261,1835,0.552001953125,100,20,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_2423977091.png
ProcGenHybrid,161399501,118.757,true,213,4508,4964,0.47592905405405,100,56,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_161399501.png
ProcGenHybrid,3097863302,94.706,true,111,2203,1893,0.537841796875,100,25,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_3097863302.png
ProcGenHybrid,2500085670,23.772,true,62,2294,1802,0.56005859375,5,324,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_2500085670.png
ProcGenHybrid,2534798917,21.08,true,103,2066,2030,0.50439453125,12,156,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_2534798917.png
ProcGenHybrid,3791283224,16.428,true,69,2146,1950,0.52392578125,5,238,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_3791283224.png
ProcGenHybrid,594590890,18.967,true,35,2325,1771,0.567626953125,2,648,false,false,0,res://output/png/ProcGenHybrid/run_000_seed_594590890.png
